"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"6276/308.1339mz/8.93min",2.3899,1.9975,2.2951,2.3427,2.384,2.3644,2.3679,2.3408
"10774/494.3005mz/13.83min",2.3895,1.9536,1.8387,1.8032,1.7768,1.7577,1.7277,1.7069
"9509/434.2385mz/12.54min",2.3883,2.1023,2.0346,1.9952,1.9672,1.9644,1.9295,1.9039
"6531/256.8507mz/9.33min",2.3859,1.9118,1.8139,1.7827,1.7523,1.727,1.7195,1.7028
"14797/170.0963mz/21.96min",2.3788,1.978,1.8595,1.8247,1.8188,1.8873,1.8541,1.83
"5032/130.1591mz/5.49min",2.3731,1.9037,1.8313,1.8038,1.7739,1.7444,1.7156,1.6931
"5545/130.1591mz/7.06min",2.3684,1.9137,1.8283,1.8122,1.781,1.7639,1.7339,1.7116
"8576/471.1258mz/11.62min",2.3673,1.9496,1.8396,1.8058,1.7988,1.8202,1.7952,1.7758
"7122/187.1447mz/10.02min",2.3623,1.9126,1.8022,1.7673,1.7467,1.7187,1.6891,1.6758
"7144/350.2065mz/10.05min",2.3599,1.8925,1.7882,1.7541,1.724,1.6947,1.6777,1.6559
"15436/615.4133mz/23.91min",2.3472,1.892,1.7944,1.7606,1.7301,1.7015,1.6705,1.6511
"15396/676.4658mz/23.80min",2.347,1.8817,1.8025,1.7676,1.7372,1.7078,1.679,1.6574
"5464/130.1590mz/6.69min",2.3452,1.8952,1.8026,1.7689,1.7469,1.7197,1.694,1.6751
"6587/256.8506mz/9.39min",2.3402,1.8755,1.7848,1.7511,1.7204,1.6913,1.6694,1.6496
"15455/615.4133mz/23.92min",2.3302,1.868,1.7787,1.7442,1.7167,1.6877,1.6635,1.6431
"15347/720.4919mz/23.70min",2.3281,1.8685,1.8175,1.7844,1.7544,1.7273,1.696,1.6736
"15527/535.8740mz/24.15min",2.3261,1.8855,1.7789,1.7512,1.7232,1.6966,1.691,1.6707
"5072/130.1590mz/5.57min",2.3211,1.8604,1.7864,1.7564,1.7258,1.7009,1.67,1.648
